TIM REL,GTX,GTY,XRAW,YRAW,GT Xmm,GT Ymm,Xmm,Ymm,YAW GT,YAW DATA,PITCH GT,PITCH DATA,GAZE GT,GAZE ANG,DIFF GZ
0.0,-1.0,1.0,199.5173,242.2039,-0.228,0.228,45.4899444,55.2224892,-0.0186620532386,0.140263924959,0.0186620532386,-1.39667011324,11.8784556234,16.1642140468,4.28575842344
33.252300024,-1.0,1.0,200.6277,243.4396,-0.228,0.228,45.7431156,55.5042288,-0.0186620532386,0.161898503855,0.0186620532386,-1.36973603578,11.8784556234,16.1943242941,4.31586867075
66.6223599911,-1.0,1.0,202.416,250.2835,-0.228,0.228,46.150848,57.064638,-0.0186620532386,0.197988061917,0.0186620532386,-1.23480335533,11.8784556234,16.3282876702,4.44983204679
100.001539946,-1.0,1.0,203.4338,251.3974,-0.228,0.228,46.3829064,57.3186072,-0.0186620532386,0.217503634572,0.0186620532386,-1.21292615643,11.8784556234,16.3548576243,4.47640200095
133.217920065,-1.0,1.0,203.8679,248.5769,-0.228,0.228,46.4818812,56.6755332,-0.0186620532386,0.226962099302,0.0186620532386,-1.26739762375,11.8784556234,16.308857219,4.43040159563
166.447710037,-1.0,1.0,205.1935,248.8467,-0.228,0.228,46.784118,56.7370476,-0.0186620532386,0.256833117226,0.0186620532386,-1.2537529586,11.8784556234,16.3299225731,4.45146694975
199.832299948,-1.0,1.0,204.8519,248.5512,-0.228,0.228,46.7062332,56.6696736,-0.0186620532386,0.252523050844,0.0186620532386,-1.2578497129,11.8784556234,16.324272035,4.44581641162
233.130219936,-1.0,1.0,201.8435,245.5783,-0.228,0.228,46.020318,55.9918524,-0.0186620532386,0.196764539333,0.0186620532386,-1.32305406743,11.8784556234,16.2455978756,4.36714225225
266.371979952,-1.0,1.0,200.9262,247.7405,-0.228,0.228,45.8111736,56.484834,-0.0186620532386,0.178104796297,0.0186620532386,-1.28604870673,11.8784556234,16.2709908757,4.39253525231
299.713239908,-1.0,1.0,202.314,249.2257,-0.228,0.228,46.127592,56.8234596,-0.0186620532386,0.202854699085,0.0186620532386,-1.25808655901,11.8784556234,16.2988211582,4.42036553482
333.126919985,-1.0,1.0,201.6186,251.6404,-0.228,0.228,45.9690408,57.3740112,-0.0186620532386,0.187878442321,0.0186620532386,-1.2131530785,11.8784556234,16.3349688908,4.45651326739
366.355849981,-1.0,1.0,201.0783,251.9075,-0.228,0.228,45.8458524,57.43491,-0.0186620532386,0.172233793017,0.0186620532386,-1.21724383047,11.8784556234,16.3276216753,4.44916605191
399.71021986,-1.0,1.0,198.3848,246.4037,-0.228,0.228,45.2317344,56.1800436,-0.0186620532386,0.127143603068,0.0186620532386,-1.30744251954,11.8784556234,16.2380083549,4.35955273153
432.868439913,-1.0,1.0,66.7567,68.8105,-0.228,0.228,15.2205276,15.688794,-0.0186620532386,-2.39039748984,0.0186620532386,-4.69811533909,11.8784556234,12.6378367043,0.759381080899
466.207139969,-1.0,1.0,57.7177,56.6519,-0.228,0.228,13.1596356,12.9166332,-0.0186620532386,-2.56493968831,0.0186620532386,-4.93374883961,11.8784556234,12.4087653722,0.530309748825
499.623660088,-1.0,1.0,46.4751,39.5491,-0.228,0.228,10.5963228,9.0171948,-0.0186620532386,-2.78156398893,0.0186620532386,-5.26247498932,11.8784556234,12.0825069618,0.20405133843
532.868560076,-1.0,1.0,44.632,36.722,-0.228,0.228,10.176096,8.372616,-0.0186620532386,-2.81723132106,0.0186620532386,-5.31802865355,11.8784556234,12.0278313842,0.149375760847
566.252009869,-1.0,1.0,43.3082,35.2415,-0.228,0.228,9.8742696,8.035062,-0.0186620532386,-2.8434590645,0.0186620532386,-5.34829054725,11.8784556234,11.9961927502,0.11773712686
