Gnd tr X,Gnd tr Y,Gaze X,Gaze Y,Timestamp,Res X,Res Y,Mmpix,User Dis,UID
-1,1,72.4593,-7.4491,1206454841,1680,1050,0.28,600,Remote User1
-1,1,119.5888,90.7924,1206454870,,,,,
-1,1,138.3546,123.1632,1206454916,,,,,
-1,1,149.9836,119.8029,1206454946,,,,,
-1,1,146.8282,128.0821,1206454976,,,,,
-1,1,147.3213,127.4611,1206455005,,,,,
-1,1,147.8191,121.7919,1206455036,,,,,
-1,1,146.2793,122.2343,1206455081,,,,,
-1,1,140.3931,109.9421,1206455112,,,,,
-1,1,126.4799,107.9579,1206455140,,,,,
-1,1,49.0485,49.1949,1206455185,,,,,
-1,1,30.6452,25.4374,1206455206,,,,,
-1,1,33.607,25.2924,1206455235,,,,,
-1,1,26.6439,-3.0813,1206455274,,,,,
-1,1,21.3412,-23.7275,1206455306,,,,,
-1,1,20.5112,-27.8174,1206455336,,,,,
-1,1,16.4577,-27.1146,1206455381,,,,,
-1,1,17.4962,-24.7133,1206455409,,,,,
-1,1,17.813,-23.1633,1206455441,,,,,
-1,1,16.366,-22.5128,1206455486,,,,,
-1,1,7.898,-20.5281,1206455517,,,,,
-1,1,12.3132,-24.0987,1206455544,,,,,
-1,1,6.9535,-17.5009,1206455576,,,,,
-1,1,9.0842,-6.9587,1206455606,,,,,
-1,1,12.4316,0.1402,1206455634,,,,,
-1,1,15.1544,-4.0464,1206455680,,,,,
-1,1,15.8237,-9.779,1206455711,,,,,
-1,1,15.4235,-7.1657,1206455741,,,,,
-1,1,6.7792,-6.6888,1206455786,,,,,
-1,1,8.5308,-5.1044,1206455816,,,,,
-1,1,11.9366,-4.3197,1206455846,,,,,
-1,1,15.3594,-1.1854,1206455877,,,,,
-1,1,15.9452,0.3206,1206455904,,,,,
-1,1,8.7745,7.1221,1206455936,,,,,
-1,1,11.0323,5.5082,1206455981,,,,,
-1,1,12.8007,4.2828,1206456012,,,,,
-1,1,15.2046,-1.2757,1206456039,,,,,
-1,1,11.2958,2.0467,1206456085,,,,,
-1,1,10.7684,2.5212,1206456117,,,,,
-1,1,12.6428,-0.0031,1206456146,,,,,
-1,1,8.363,-0.4673,1206456174,,,,,
-1,1,7.4949,1.1283,1206456219,,,,,
-1,1,9.4297,4.7867,1206456236,,,,,
-1,1,12.9917,-0.5734,1206456281,,,,,
-1,1,19.6238,-4.8588,1206456309,,,,,
-1,1,13.1845,0.1436,1206456341,,,,,
-1,1,13.1131,1.3681,1206456373,,,,,
-1,1,8.5887,1.3192,1206456417,,,,,
-1,1,12.5573,-4.2417,1206456444,,,,,
-1,1,15.3867,-0.8388,1206456476,,,,,
-1,1,17.4033,-1.5949,1206456506,,,,,
-1,1,12.4221,-1.3475,1206456536,,,,,
-1,1,19.9202,-6.4703,1206456581,,,,,
-1,1,24.1499,-5.5087,1206456613,,,,,
-1,1,21.1897,4.537,1206456641,,,,,
-1,1,17.4874,4.8111,1206456686,,,,,
-1,1,15.66,4.8985,1206456715,,,,,
-1,1,12.398,-1.1755,1206456746,,,,,
-1,1,9.3325,-6.4997,1206456776,,,,,
-1,1,7.7812,-3.3289,1206456821,,,,,
-1,1,9.1257,-1.7813,1206456836,,,,,
-1,1,11.4881,-9.5711,1206456881,,,,,
-1,1,17.7616,-10.7784,1206456911,,,,,
-1,1,17.6026,-11.5647,1206456941,,,,,
-1,1,8.9286,-12.8985,1206456984,,,,,
-1,1,6.4347,-13.0863,1206457017,,,,,
-1,1,2.9216,-9.7053,1206457046,,,,,
-1,1,1.4707,-8.8408,1206457074,,,,,
-1,1,5.2715,-9.7829,1206457119,,,,,
-1,1,4.3089,-10.5745,1206457136,,,,,
-1,1,11.8988,0.0509,1206457181,,,,,
-1,1,12.9105,-5.6853,1206457209,,,,,
-1,1,12.119,-18.4373,1206457254,,,,,
-1,1,10.453,-13.4983,1206457286,,,,,
-1,1,10.7248,-13.8019,1206457317,,,,,
-1,1,21.0257,-9.6559,1206457344,,,,,
-1,1,24.2725,-0.5482,1206457377,,,,,
-1,1,18.2883,8.0258,1206457421,,,,,
-1,1,15.7389,7.7492,1206457434,,,,,
-1,1,9.9616,6.1344,1206457480,,,,,
-1,1,12.3801,12.0112,1206457511,,,,,
-1,1,19.9522,1.1735,1206457541,,,,,
-1,1,20.4676,-0.8409,1206457586,,,,,
-1,1,11.0641,-6.3265,1206457615,,,,,
-1,1,11.5521,-5.2037,1206457646,,,,,
-1,1,11.8299,-8.2472,1206457676,,,,,
-1,1,16.3557,-6.0281,1206457721,,,,,
-1,1,16.7642,-9.5407,1206457736,,,,,
-1,1,18.7708,-12.3863,1206457781,,,,,
335,1,21.3366,-13.9886,1206457811,,,,,
