Gnd tr X,Gnd tr Y,Gaze X,Gaze Y,Timestamp,Res X,Res Y,User Dis
-1,1,-95.8788,227.3067,1382417921,1680,1050,600
-1,1,-90.2551,231.5041,1382417981,,,
-1,1,-89.7262,230.0945,1382418011,,,
-1,1,-84.6879,230.8636,1382418040,,,
-1,1,-83.7438,228.3864,1382418071,,,
-1,1,-80.5387,228.618,1382418105,,,
-1,1,-81.4189,229.255,1382418146,,,
-1,1,-90.5123,231.5998,1382418175,,,
-1,1,-97.0829,232.9507,1382418206,,,
-1,1,-93.7137,236.3962,1382418219,,,
-1,1,-87.8182,225.4378,1382418281,,,
-1,1,2.3965,61.2912,1382418309,,,
-1,1,15.4041,22.8691,1382418341,,,
-1,1,12.5787,10.7472,1382418371,,,
-1,1,13.5924,17.5355,1382418400,,,
-1,1,16.2885,18.4881,1382418444,,,
-1,1,16.8372,14.7851,1382418476,,,
-1,1,17.891,-0.6969,1382418506,,,
-1,1,14.9591,-8.7965,1382418521,,,
-1,1,13.3194,-6.6469,1382418579,,,
-1,1,13.9893,-6.8695,1382418611,,,
-1,1,22.0546,4.7391,1382418641,,,
-1,1,10.2385,8.8942,1382418671,,,
-1,1,9.7798,6.3829,1382418714,,,
-1,1,9.409,6.9974,1382418746,,,
-1,1,17.3396,8.6675,1382418777,,,
-1,1,16.8363,7.6663,1382418804,,,
-1,1,20.3135,0.6502,1382418821,,,
-1,1,17.0751,0.1088,1382418882,,,
-1,1,15.375,0.3728,1382418911,,,
-1,1,15.4598,3.3614,1382418941,,,
-1,1,15.4598,3.3614,1382418960,,,
-1,1,12.9729,-13.532,1382419005,,,
-1,1,12.9729,-13.532,1382419035,,,
-1,1,12.9729,-13.532,1382419064,,,
-1,1,-40.3175,38.6989,1382419105,,,
-1,1,-6.9401,18.9927,1382419109,,,
-1,1,26.4746,22.424,1382419180,,,
-1,1,26.4056,12.8805,1382419209,,,
-1,1,24.6239,11.2827,1382419241,,,
-1,1,19.11,12.0477,1382419271,,,
-1,1,16.454,20.058,1382419316,,,
-1,1,15.3357,18.4929,1382419344,,,
-1,1,15.2587,16.737,1382419377,,,
-1,1,18.5138,17.2958,1382419406,,,
-1,1,22.7178,18.0331,1382419421,,,
-1,1,32.4049,13.2579,1382419479,,,
-1,1,28.6306,20.969,1382419511,,,
-1,1,26.5256,24.0342,1382419541,,,
-1,1,16.2188,21.6992,1382419569,,,
-1,1,17.1003,21.8919,1382419615,,,
-1,1,15.378,19.8761,1382419647,,,
-1,1,15.0351,18.1423,1382419677,,,
-1,1,7.703,8.2313,1382419704,,,
-1,1,8.1229,7.2033,1382419750,,,
-1,1,12.2999,8.7616,1382419783,,,
-1,1,21.952,2.806,1382419811,,,
-1,1,20.545,4.2777,1382419841,,,
-1,1,21.6199,7.2623,1382419871,,,
-1,1,21.8493,8.9062,1382419916,,,
-1,1,28.6657,17.4752,1382419946,,,
-1,1,25.9951,17.6779,1382419974,,,
-1,1,22.2423,18.3676,1382420006,,,
-1,1,9.636,13.2865,1382420019,,,
-1,1,1.5171,23.5961,1382420081,,,
-1,1,10.655,29.7036,1382420111,,,
-1,1,10.5604,22.5969,1382420141,,,
-1,1,10.3991,21.0488,1382420171,,,
-1,1,2.2775,3.13,1382420216,,,
-1,1,4.4448,-0.5935,1382420244,,,
-1,1,12.0832,8.9008,1382420276,,,
-1,1,14.1939,12.6014,1382420306,,,
-1,1,16.2334,13.6908,1382420321,,,
-1,1,12.9257,4.1866,1382420379,,,
-1,1,15.5563,2.3363,1382420411,,,
-1,1,23.661,10.7899,1382420441,,,
-1,1,18.5853,8.6661,1382420469,,,
-1,1,16.6897,10.586,1382420514,,,
-1,1,17.4492,5.0873,1382420546,,,
-1,1,18.3728,4.5583,1382420576,,,
-1,1,31.4305,14.9137,1382420604,,,
-1,1,34.9343,21.0003,1382420650,,,
-1,1,33.2408,18.4239,1382420681,,,
-1,1,24.8129,11.7664,1382420711,,,
-1,1,23.4238,4.2461,1382420739,,,
-1,1,22.921,4.3444,1382420771,,,
-1,1,25.2839,-1.1792,1382420816,,,
-1,1,26.9243,-5.4972,1382420846,,,
-1,1,22.3788,4.6913,1382420874,,,
335,1,19.4403,4.7211,1382420906,,,
335,1,27.0644,7.0932,1382420952,,,
335,1,26.7591,9.8969,1382420982,,,
335,1,27.7617,15.5686,1382421009,,,
335,1,27.0288,15.5232,1382421041,,,
335,1,16.8515,23.136,1382421070,,,
335,1,15.9734,25.0337,1382421116,,,
335,1,20.1897,-8.75,1382421144,,,
335,1,204.7926,0.8487,1382421176,,,
335,1,198.9185,-0.7648,1382421206,,,
335,1,323.8274,-0.4922,1382421252,,,
335,1,324.5382,-9.8058,1382421279,,,
335,1,331.1023,-16.2374,1382421312,,,
335,1,357.4472,-22.1489,1382421341,,,
335,1,356.7877,-18.9293,1382421369,,,
335,1,359.3701,-10.3452,1382421414,,,
335,1,362.2958,-16.2612,1382421446,,,
335,1,367.6642,-29.8953,1382421476,,,
335,1,368.2209,-16.9974,1382421504,,,
335,1,375.5975,-15.1246,1382421550,,,
335,1,374.9772,-14.6064,1382421581,,,
335,1,366.4073,-9.0666,1382421611,,,
335,1,362.6955,-8.221,1382421639,,,
335,1,359.0744,-16.2231,1382421671,,,
335,1,361.7993,-16.4584,1382421716,,,
335,1,364.2318,-10.0413,1382421747,,,
335,1,364.9958,-5.7716,1382421774,,,
335,1,359.8939,-6.6521,1382421819,,,
335,1,359.1772,-7.2952,1382421852,,,
335,1,358.4659,-14.1496,1382421881,,,
335,1,358.8957,-13.5686,1382421909,,,
335,1,354.9591,-5.613,1382421941,,,
335,1,353.2704,-1.2942,1382421971,,,
335,1,360.802,-6.8437,1382422016,,,
335,1,364.5822,-4.9353,1382422044,,,
335,1,373.7355,-15.4108,1382422076,,,
335,1,373.4837,-12.8873,1382422106,,,
335,1,363.6063,-3.9844,1382422152,,,
335,1,361.3888,-6.5061,1382422180,,,
335,1,360.2091,-7.1757,1382422211,,,
335,1,361.2978,-3.4191,1382422240,,,
335,1,362.2921,-0.2593,1382422269,,,
335,1,366.9691,7.7248,1382422315,,,
335,1,374.0528,13.8594,1382422346,,,
335,1,370.7215,6.2484,1382422377,,,
335,1,370.081,5.616,1382422420,,,
335,1,366.9689,5.9726,1382422450,,,
335,1,380.4067,18.6199,1382422481,,,
335,1,377.4829,16.3615,1382422513,,,
335,1,374.6829,9.3494,1382422539,,,
335,1,375.3246,7.6249,1382422570,,,
335,1,375.5382,3.4948,1382422616,,,
335,1,375.5486,4.8605,1382422646,,,
335,1,371.9379,4.4814,1382422676,,,
335,1,361.0243,9.5371,1382422720,,,
335,1,362.6987,9.2121,1382422752,,,
335,1,366.8149,3.8789,1382422780,,,
335,1,366.8748,1.9202,1382422809,,,
335,1,354.0722,-17.9982,1382422841,,,
335,1,362.2866,-3.5246,1382422870,,,
335,1,369.6062,5.635,1382422915,,,
335,1,367.0566,2.528,1382422944,,,
335,1,357.6142,-0.792,1382422976,,,
335,1,352.7917,-0.4966,1382423021,,,
335,1,348.7341,1.9883,1382423051,,,
335,1,355.2423,7.305,1382423079,,,
335,1,356.6961,5.7474,1382423112,,,
335,1,357.9483,2.4776,1382423142,,,
