Gnd tr X,Gnd tr Y,Gaze X,Gaze Y,Timestamp,Res X,Res Y,Mmpix,User Dis,UID
-1,1,26.4328,192.2321,1382636275,1680,1050,0.28,750,User2
-1,1,58.6812,199.0771,1382636306,,,,,
-1,1,62.4751,187.3467,1382636350,,,,,
-1,1,60.1227,167.4778,1382636379,,,,,
-1,1,58.7007,130.642,1382636410,,,,,
-1,1,59.0347,128.1392,1382636425,,,,,
-1,1,65.8318,148.266,1382636469,,,,,
-1,1,58.3207,111.853,1382636514,,,,,
-1,1,29.094,66.3098,1382636545,,,,,
-1,1,20.1945,44.2206,1382636575,,,,,
-1,1,15.2542,46.5545,1382636605,,,,,
-1,1,16.5004,28.3813,1382636650,,,,,
-1,1,16.8828,18.9077,1382636680,,,,,
-1,1,19.4071,15.3271,1382636710,,,,,
-1,1,19.1639,14.4824,1382636726,,,,,
-1,1,-1.1214,6.0688,1382636770,,,,,
-1,1,-16.1095,11.7389,1382636814,,,,,
-1,1,-11.912,24.8425,1382636845,,,,,
-1,1,1.0316,-2.2595,1382636874,,,,,
-1,1,3.0297,0.9103,1382636895,,,,,
-1,1,4.4974,-22.3263,1382636950,,,,,
-1,1,5.0547,-18.0732,1382636980,,,,,
-1,1,5.6147,-10.9151,1382637010,,,,,
-1,1,6.7956,-6.5875,1382637026,,,,,
-1,1,30.9575,5.3424,1382637071,,,,,
-1,1,34.563,18.0588,1382637115,,,,,
-1,1,21.103,20.1384,1382637144,,,,,
-1,1,6.9369,12.0026,1382637164,,,,,
-1,1,6.2898,7.878,1382637206,,,,,
-1,1,22.5259,32.7102,1382637250,,,,,
-1,1,28.2,24.6508,1382637279,,,,,
-1,1,14.1448,24.4477,1382637310,,,,,
-1,1,7.8238,24.5505,1382637325,,,,,
-1,1,8.2462,3.7309,1382637369,,,,,
-1,1,18.0186,-14.8184,1382637414,,,,,
-1,1,8.8253,-3.2129,1382637445,,,,,
-1,1,8.6083,6.9367,1382637475,,,,,
-1,1,9.5721,22.9865,1382637505,,,,,
-1,1,7.5646,29.7697,1382637549,,,,,
-1,1,7.7856,28.3319,1382637580,,,,,
-1,1,13.8621,21.403,1382637610,,,,,
-1,1,17.5462,15.4999,1382637627,,,,,
-1,1,36.8108,-24.8627,1382637684,,,,,
-1,1,27.0884,-44.7465,1382637714,,,,,
-1,1,18.4887,-46.8274,1382637745,,,,,
-1,1,38.2368,4.5739,1382637774,,,,,
-1,1,35.7479,1.3247,1382637806,,,,,
-1,1,32.6463,6.6087,1382637849,,,,,
-1,1,24.6915,0.6635,1382637869,,,,,
-1,1,25.4176,2.5831,1382637909,,,,,
-1,1,31.1806,7.9383,1382637925,,,,,
-1,1,-1.3233,44.4771,1382637984,,,,,
-1,1,12.3141,49.6563,1382638016,,,,,
-1,1,17.7586,26.8858,1382638044,,,,,
-1,1,19.3065,19.3354,1382638074,,,,,
-1,1,22.4239,8.6727,1382638106,,,,,
-1,1,21.242,-3.873,1382638149,,,,,
-1,1,23.7966,-1.6978,1382638179,,,,,
-1,1,20.0781,-0.5124,1382638209,,,,,
-1,1,35.7025,5.4274,1382638224,,,,,
-1,1,68.344,29.1763,1382638269,,,,,
-1,1,35.9661,39.1492,1382638314,,,,,
-1,1,-5.3404,20.7074,1382638344,,,,,
-1,1,7.0411,41.9577,1382638374,,,,,
-1,1,33.8113,39.2267,1382638419,,,,,
-1,1,35.7834,39.018,1382638449,,,,,
-1,1,14.5097,3.1473,1382638469,,,,,
-1,1,0.2992,-29.5166,1382638509,,,,,
-1,1,11.282,-30.8978,1382638524,,,,,
-1,1,25.7364,19.4599,1382638584,,,,,
-1,1,24.5575,15.2271,1382638604,,,,,
-1,1,28.6484,8.5137,1382638645,,,,,
-1,1,-3.2177,12.2703,1382638674,,,,,
-1,1,3.7291,11.0078,1382638709,,,,,
-1,1,17.0259,10.6124,1382638749,,,,,
-1,1,10.0125,26.7224,1382638780,,,,,
-1,1,18.4863,23.8969,1382638809,,,,,
-1,1,32.701,27.1296,1382638824,,,,,
-1,1,41.2466,35.5408,1382638885,,,,,
-1,1,36.2947,26.841,1382638914,,,,,
-1,1,13.3227,26.2728,1382638944,,,,,
-1,1,17.9842,19.2337,1382638975,,,,,
-1,1,23.1907,15.15,1382639009,,,,,
-1,1,27.5869,14.8923,1382639050,,,,,
-1,1,33.4759,19.1291,1382639079,,,,,
-1,1,43.8413,-2.1277,1382639099,,,,,
-1,1,44.7231,-2.1572,1382639114,,,,,
-1,1,35.2615,-14.4198,1382639184,,,,,
-1,1,8.9289,-20.9436,1382639214,,,,,
335,1,4.9255,-20.8326,1382639234,,,,,
335,1,-2.1177,-17.6823,1382639275,,,,,
335,1,-6.7874,-33.3632,1382639319,,,,,
335,1,11.3942,-31.5378,1382639349,,,,,
335,1,29.8264,-27.9113,1382639379,,,,,
335,1,19.3236,-14.3525,1382639411,,,,,
335,1,14.0453,-7.6803,1382639426,,,,,
335,1,59.2912,-1.2524,1382639484,,,,,
335,1,117.4874,6.5839,1382639514,,,,,
335,1,217.8162,-11.5897,1382639534,,,,,
335,1,279.2215,24.7807,1382639574,,,,,
335,1,329.3914,-5.9601,1382639620,,,,,
